init_id,condition,final_loss,final_theta_dist,converged,conv_step,theta1_final,theta2_final
0,raw,1.1429997268488142e-14,1.430511474609375e-06,1,165,1.0000014305114746,1.0
0,smooth,0.010358106344938278,0.5214208960533142,0,500,1.3955563306808472,1.339727759361267
1,raw,5.131321449880488e-05,0.11254457384347916,0,500,0.9046652317047119,0.9401872754096985
1,smooth,0.01041630282998085,0.2838783264160156,1,394,1.1897560358047485,1.2111387252807617
2,raw,5.271511582805033e-08,0.0030374866910278797,1,344,0.9969626069068909,0.9999761581420898
2,smooth,0.010358932428061962,0.5031580328941345,0,500,1.3711047172546387,1.3397783041000366
3,raw,2.9067492008071896e-15,7.748603820800781e-07,1,171,1.0000007152557373,0.9999997019767761
3,smooth,0.010358106344938278,0.521389365196228,0,500,1.3955148458480835,1.3397276401519775
4,raw,3.317137457845286e-16,2.528810796320613e-07,1,203,0.9999998211860657,0.9999998211860657
4,smooth,0.010358106344938278,0.5209760665893555,0,500,1.3949681520462036,1.3397296667099
5,raw,3.7049654455501013e-09,0.0008043156703934073,1,307,0.9991986155509949,0.9999313950538635
5,smooth,0.010358312167227268,0.5109723210334778,0,500,1.3834067583084106,1.3377749919891357
6,raw,0.00014871636813040823,0.1678221970796585,0,500,0.836851179599762,0.9606712460517883
6,smooth,0.010481810197234154,0.2640276849269867,0,500,1.0941075086593628,1.2466868162155151
7,raw,1.0679557505000048e-07,0.004328724928200245,1,357,0.9956715106964111,0.9999548196792603
7,smooth,0.010359327308833599,0.4992680847644806,0,500,1.3657881021499634,1.3398053646087646
8,raw,0.0,0.0,1,18,1.0,1.0
8,smooth,0.010358106344938278,0.5214940309524536,0,500,1.3956530094146729,1.3397274017333984
9,raw,1.0994652257068083e-05,0.044603217393159866,1,490,0.9557703137397766,0.9942396283149719
9,smooth,0.010378532111644745,0.41708695888519287,0,500,1.2731431722640991,1.3152052164077759
10,raw,3.5321111773104264e-17,3.5762786865234375e-07,1,89,1.0,0.9999996423721313
10,smooth,0.010358106344938278,0.5214940309524536,0,500,1.3956531286239624,1.3397272825241089
11,raw,3.828879227563142e-11,8.070840704021975e-05,1,258,0.9999192953109741,0.9999992251396179
11,smooth,0.010358132421970367,0.5182393193244934,0,500,1.39134681224823,1.339734673500061
12,raw,1.6263647329914366e-12,1.652349965297617e-05,1,236,0.9999834895133972,0.9999993443489075
12,smooth,0.01035811472684145,0.5197224020957947,0,500,1.3933082818984985,1.3397351503372192
13,raw,3.00551164400531e-06,0.15075480937957764,0,500,0.9999680519104004,0.8492451906204224
13,smooth,0.01036083698272705,0.4030243158340454,0,500,1.3956499099731445,1.076744794845581
14,raw,5.8753553275892045e-06,0.032315995544195175,1,465,0.9676910042762756,0.9993274211883545
14,smooth,0.010371679440140724,0.44744202494621277,0,500,1.295767068862915,1.335747241973877
15,raw,5.984851014773085e-08,0.0032372670248150826,1,346,0.9967628717422485,0.999970018863678
15,smooth,0.010358991101384163,0.5025151371955872,0,500,1.370238184928894,1.3397722244262695
16,raw,7.545583230239572e-06,0.037346839904785156,1,476,0.9633886814117432,0.9926245212554932
16,smooth,0.010374084115028381,0.4228660762310028,0,500,1.2873802185058594,1.3102068901062012
17,raw,1.7003823813865893e-05,0.15694904327392578,0,500,0.9498984813690186,0.8512625098228455
17,smooth,0.01038473378866911,0.2753640413284302,0,500,1.2627167701721191,1.0824940204620361
18,raw,3.0344831429829355e-06,0.023197295144200325,1,442,0.9768035411834717,0.9998030066490173
18,smooth,0.010367019101977348,0.46322041749954224,0,500,1.314746379852295,1.3398644924163818
19,raw,0.0,0.0,1,6,1.0,1.0
19,smooth,0.010358106344938278,0.5214934945106506,0,500,1.3956525325775146,1.3397271633148193
